upsc,Who was the first Governor-General of Bengal?,Warren Hastings,Lord Wellesley,Lord Cornwallis,Lord Minto,0
upsc,The Battle of Plassey was fought in which year?,1857,1947,1757,1764,2
upsc,Who founder of the Maurya Empire?,Ashoka,Chandragupta Maurya,Kanishka,Bindusara,1
upsc,Which act introduced dyarchy in provinces?,Charter Act 1833,Government of India Act 1935,Government of India Act 1919,Indian Councils Act 1909,2
upsc,The Quit India Movement was launched in?,1942,1919,1930,1920,0
upsc,Which Article deals with the abolition of untouchability?,Article 21,Article 14,Article 19,Article 17,3
upsc,Who is the ex-officio Chairman of Rajya Sabha?,Prime Minister,Speaker,Vice President,President,2
upsc,The Minimum age for becoming a Governor of State is?,25 years,21 years,30 years,35 years,3
upsc,Which Schedule contains the list of recognized languages?,Ninth Schedule,Eighth Schedule,Tenth Schedule,Seventh Schedule,1
upsc,The power to amend the Constitution rests with?,President,Parliament,Supreme Court,State Assemblies,1
upsc,Which is the longest river in India?,Yamuna,Narmada,Godavari,Ganga,3
upsc,Where is the headquarters of ISRO?,Mumbai,New Delhi,Chennai,Bengaluru,3
upsc,Which state has result highest literacy rate?,Tamil Nadu,Kerala,Maharashtra,Punjab,1
upsc,The Tropic of Cancer passes through how many states?,7,8,9,6,1
upsc,Which soil is best for cotton cultivation?,Red Soil,Laterite Soil,Black Soil,Alluvial Soil,2
ssc,What is the chemical formula of Water?,CO2,H2O,O2,NaCl,1
ssc,Which gas is used in electric bulbs?,Nitrogen,Oxygen,Argon,Hydrogen,2
ssc,The unit of force is?,Pascal,Watt,Joule,Newton,3
ssc,Which vitamin is known as Ascorbic Acid?,Vitamin A,Vitamin C,Vitamin D,Vitamin B,1
ssc,Sound travels fastest in?,Air,Steel,Water,Vacuum,1
ssc,What is the square root of 144?,16,14,10,12,3
ssc,What is 15% of 200?,40,25,20,30,3
ssc,The sum of angles in a triangle is?,90,180,270,360,1
ssc,If x + 5 = 10, then x is?,15,5,0,10,1
ssc,What is the value of Pi (approx)?,3.12,3.14,3.24,3.41,1
ssc,Find the odd one out: Car, Bus, Truck, Ship,Truck,Bus,Car,Ship,3
ssc,Complete the series: 2, 4, 8, 16, ?,32,24,20,64,0
ssc,If CAT = 3120, then DOG = ?,4167,4156,5157,4157,3
ssc,Sun is to Day as Moon is to?,Sky,Night,Star,Dark,1
ssc,Which word does not belong?,Mango,Apple,Banana,Carrot,1
